"date";"year";"week";"ship_units";"clean_su";"ship_ma";"ship_ma30"
2016-12-22;2016;51;126;126;118.428571428571;143.283333333333
2016-12-23;2016;52;158;158;90.4285714285714;144.05
2016-12-27;2016;52;24;24;82.8571428571429;145.15
2016-12-28;2016;52;2;2;72;145.883333333333
2017-01-06;2017;1;8;8;72.7142857142857;143.333333333333
2017-01-09;2017;2;62;62;70.2857142857143;141.7
2017-01-10;2017;2;124;124;89;143.933333333333
2017-01-11;2017;2;131;131;106.714285714286;146.266666666667
2017-01-12;2017;2;141;141;133.428571428571;147.883333333333
2017-01-13;2017;2;155;155;149.142857142857;147.333333333333
2017-01-16;2017;3;126;126;149.714285714286;146.65
2017-01-17;2017;3;195;195;151.285714285714;144.55
2017-01-18;2017;3;172;172;159.285714285714;141.866666666667
2017-01-19;2017;3;128;128;155.285714285714;141.716666666667
2017-01-20;2017;3;142;142;162.428571428571;141.683333333333
2017-01-23;2017;4;197;197;162.285714285714;140.2
2017-01-24;2017;4;127;127;155.571428571429;137.683333333333
2017-01-25;2017;4;176;176;175.571428571429;139.35
2017-01-26;2017;4;194;194;181;143.65
2017-01-27;2017;4;125;125;178.285714285714;146.583333333333
2017-01-30;2017;5;268;268;187.571428571429;149.033333333333
2017-01-31;2017;5;180;180;187.428571428571;149.383333333333
2017-02-01;2017;5;178;178;185.285714285714;148.05
2017-02-02;2017;5;192;192;177.285714285714;146.283333333333
2017-02-03;2017;5;175;175;163.285714285714;146.233333333333
2017-02-06;2017;6;179;179;157.571428571429;146.916666666667
2017-02-07;2017;6;69;69;156.857142857143;145.3
2017-02-08;2017;6;170;170;138.571428571429;142.166666666667
2017-02-09;2017;6;140;140;123.428571428571;139.966666666667
2017-02-10;2017;6;173;173;128.285714285714;139.133333333333
2017-02-13;2017;7;64;64;128.571428571429;139.533333333333
2017-02-14;2017;7;69;69;120.714285714286;143
2017-02-15;2017;7;213;213;115.285714285714;147.35
2017-02-16;2017;7;71;71;105.571428571429;147.633333333333
2017-02-17;2017;7;115;115;106.428571428571;147.483333333333
2017-02-20;2017;8;102;102;110.285714285714;148
2017-02-21;2017;8;105;105;108;147.016666666667
2017-02-22;2017;8;70;70;115.714285714286;146.183333333333
2017-02-23;2017;8;96;96;113.428571428571;143.766666666667
2017-02-24;2017;8;197;197;110.285714285714;140.95
